"id","date","dive_number","boat","dive_guide","dive_site","max_depth","water_temperature","sightings"
405,"2024-01-25",1,"Fin & Tonic","Otto","Tent Reef Wall",24,27,"[{""species"" : ""Lionfish Alive"", ""count"" : 1}, {""species"" : ""Green Turtle"", ""count"" : 2}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Yellowfin Grouper"", ""count"" : 1}]"
407,"2024-01-26",2,"Shark Bait","Svenja","Tent Drift",17,26,"[{""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Green Turtle"", ""count"" : 3}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Lionfish Alive"", ""count"" : 1}, {""species"" : ""Longspine Sea Urchin"", ""count"" : 2}, {""species"" : ""Southern Stingray"", ""count"" : 1}]"
410,"2024-01-26",2,"Fin & Tonic","Richard ","Ladder Labyrinth",24,27,"[{""species"" : ""Lionfish Dead"", ""count"" : 1}, {""species"" : ""Nurse Shark"", ""count"" : 2}, {""species"" : ""Fingerprint Cyphoma"", ""count"" : 3}, {""species"" : ""Lionfish Alive"", ""count"" : 1}]"
411,"2024-01-27",1,"Fin & Tonic","Richard","Third Encounter",34,27,"[{""species"" : ""Nassau Grouper"", ""count"" : 1}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Lionfish Alive"", ""count"" : 1}]"
412,"2024-01-27",2,"Fin & Tonic","Richard","Hot Springs",23,27,"[{""species"" : ""Green Turtle"", ""count"" : 8}, {""species"" : ""Southern Stingray"", ""count"" : 3}]"
414,"2024-01-28",1,"Fin & Tonic","Aaron","Man of War Shoals",22,27,"[{""species"" : ""Roughtail Stingray"", ""count"" : 2}, {""species"" : ""Green Turtle"", ""count"" : 2}, {""species"" : ""Yellowfin Grouper"", ""count"" : 2}, {""species"" : ""Southern Stingray"", ""count"" : 4}]"
413,"2024-01-28",2,"Fin & Tonic","Richard","Babylon",26,27,"[{""species"" : ""Caribbean Reef Shark"", ""count"" : 2}, {""species"" : ""Lionfish Alive"", ""count"" : 1}, {""species"" : ""Nurse Shark"", ""count"" : 1}]"
415,"2024-01-28",3,"Fin & Tonic","Aaron","Tent Shallow",21,27,"[{""species"" : ""Caribbean Reef Shark"", ""count"" : 2}, {""species"" : ""Yellowfin Grouper"", ""count"" : 1}, {""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Green Turtle"", ""count"" : 3}]"
416,"2024-01-29",1,"Shark Bait","Richard","Airport Drift",24,27,"[{""species"" : ""Lionfish Alive"", ""count"" : 3}, {""species"" : ""Lionfish Dead"", ""count"" : 7}, {""species"" : ""Nurse Shark"", ""count"" : 1}]"
425,"2024-01-29",1,"Shark Bait","Aaron","Big Rock Deep",22,27,"[{""species"" : ""Caribbean Reef Shark"", ""count"" : 2}, {""species"" : ""Tiger Grouper"", ""count"" : 1}, {""species"" : ""Nassau Grouper"", ""count"" : 1}, {""species"" : ""Nurse Shark"", ""count"" : 3}]"
